"","NM_006517","Contig39153_RC","NM_018002","Contig53098_RC","Contig57825_RC","Contig47810_RC","NM_002125","X66945","NM_015364","NM_014873"
"NM_006517",1,0.0673546374525607,0.0200601587343063,0.114117542887621,-0.0974669668221705,0.148111403193904,0.0144084173594863,0.225093428857029,-0.205290398787708,-0.0929160609691443
"Contig39153_RC",0.0673546374525607,1,-0.0405756645698592,-0.0354344206618283,-0.0678321720634534,0.292664464709474,0.102257601991329,0.171933067864678,-0.0317413900632131,0.127569540488597
"NM_018002",0.0200601587343063,-0.0405756645698592,1,0.0562121245083962,0.249879197081077,0.153444319422233,-0.0689743081193479,-0.0157587736982901,0.186858203572102,0.0173655296319875
"Contig53098_RC",0.114117542887621,-0.0354344206618283,0.0562121245083962,1,0.0347445911247697,0.051399491693479,-0.160797216760922,0.173593165001638,-0.091119459758532,0.0396981600003705
"Contig57825_RC",-0.0974669668221705,-0.0678321720634534,0.249879197081077,0.0347445911247697,1,0.260116568077558,-0.278345400485697,0.0721358023133536,-0.227926202182739,-0.0198400915584779
"Contig47810_RC",0.148111403193904,0.292664464709474,0.153444319422233,0.051399491693479,0.260116568077558,1,-0.144245180189784,0.249031539753613,-0.0645002503105639,-0.0142773986657253
"NM_002125",0.0144084173594863,0.102257601991329,-0.0689743081193479,-0.160797216760922,-0.278345400485697,-0.144245180189784,1,-0.265105104928654,0.3233319405467,-0.0131332441844632
"X66945",0.225093428857029,0.171933067864678,-0.0157587736982901,0.173593165001638,0.0721358023133536,0.249031539753613,-0.265105104928654,1,-0.170728509588592,0.0656529758531705
"NM_015364",-0.205290398787708,-0.0317413900632131,0.186858203572102,-0.091119459758532,-0.227926202182739,-0.0645002503105639,0.3233319405467,-0.170728509588592,1,0.115865043117381
"NM_014873",-0.0929160609691443,0.127569540488597,0.0173655296319875,0.0396981600003705,-0.0198400915584779,-0.0142773986657253,-0.0131332441844632,0.0656529758531705,0.115865043117381,1
